nohup: ignoring input
/home/liurui/life/src/NGS/BasicUtil/Util.py 10.2.48.223
IM_2
50
2017-12-31 15:57:00
cycly  0
/home/liurui/software/Python-2.7/python /home/liurui/life/src/NGS/Analysis/usedadiPy2_7/dadicode.py  -n mallard14 26 -n quantizpool 28 -f pop10q8domestic0.02fanya30_correctminAN_2dilutetodensity0.02 -l 468232.1666268 -m IM_2 -T m_d -p s 0.5 0 1  -p nuW 2 1e-06 20  -p nuD 2 1e-06 20  -p Ts 0.1 1e-06 10  -p m12 1 1e-06 20  -p m21 1 1e-06 20  -b YrZDFHme 70
468232.166627
[('mallard14', '26'), ('quantizpool', '28')]
upper_bound [1.0, 20.0, 20.0, 10.0, 20.0, 20.0]
lower_bound [0.0, 1e-06, 1e-06, 1e-06, 1e-06, 1e-06]
params array([ 0.5,  2. ,  2. ,  0.1,  1. ,  1. ])
paramsname ['s', 'nuW', 'nuD', 'Ts', 'm12', 'm21']

6       , -5301.64    , array([ 0.356048   ,  1.22326    ,  1.42279    ,  0.0622769  ,  2.04654    ,  1.9834     ])
12      , -5079.01    , array([ 0.358782   ,  1.23426    ,  1.42558    ,  0.0734132  ,  2.0388     ,  1.95344    ])
18      , -4803.43    , array([ 0.354325   ,  1.24689    ,  1.44879    ,  0.107234   ,  2.03694    ,  1.99503    ])
24      , -4474.27    , array([ 0.36536    ,  1.29079    ,  1.4545     ,  0.249553   ,  2.19099    ,  2.07013    ])
30      , -4439.83    , array([ 0.357759   ,  1.31865    ,  1.50267    ,  0.609062   ,  2.40725    ,  2.13789    ])
36      , -4395.95    , array([ 0.364781   ,  1.31473    ,  1.48925    ,  0.450281   ,  2.31374    ,  2.0695     ])
42      , -4258.02    , array([ 0.366835   ,  1.34612    ,  1.50647    ,  0.588955   ,  2.56834    ,  1.89599    ])
48      , -4225.97    , array([ 0.403203   ,  1.40056    ,  1.55099    ,  0.991802   ,  2.60505    ,  1.81053    ])
54      , -4047.49    , array([ 0.424601   ,  1.42836    ,  1.55374    ,  1.12662    ,  2.90634    ,  1.55249    ])
60      , -3500.66    , array([ 0.565435   ,  1.47262    ,  1.4944     ,  0.407899   ,  3.19176    ,  1.19393    ])
66      , -3174.44    , array([ 0.694401   ,  1.53323    ,  1.4035     ,  0.307632   ,  3.75548    ,  0.953307   ])
84      , -2762.63    , array([ 0.899174   ,  1.55908    ,  1.27147    ,  0.0735661  ,  3.96412    ,  0.761601   ])
90      , -2833.5     , array([ 0.847266   ,  1.57257    ,  1.32577    ,  0.124144   ,  4.06823    ,  0.787663   ])
